"local_id","local_name","local_seasonal","local_mvum_symbol","local_passenger_vehicle","local_high_clearance_vehicle","source_match_status","source_match_count","source_names","source_seasonal","source_mvum_symbols","source_passenger_dates_open","source_high_clearance_dates_open","source_motorcycle_dates_open","source_milepost_ranges","date_comparison","source_url"
"600","POOL TABLE","yearlong","Roads open to all Vehicles, Yearlong","open","open","matched_by_id_season_symbol","1","POOL TABLE","yearlong","Roads open to all Vehicles, Yearlong","01/01-12/31","01/01-12/31","01/01-12/31","0-0.4441","consistent_yearlong","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"630","AGUA RAMON","seasonal","Roads open to all Vehicles, Seasonal","open","open","matched_by_id_season_symbol","1","AGUA RAMON","seasonal","Roads open to all Vehicles, Seasonal","05/16-03/14","01/01-03/14,05/16-12/31","05/16-03/14","3.972-17.4","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"630","AGUA RAMON","yearlong","Roads open to highway legal vehicles only, Yearlong","open","open","matched_by_id_season_symbol","2","AGUA RAMON","yearlong","Roads open to highway legal vehicles only, Yearlong","01/01-12/31","01/01-12/31","","21.256-21.334; 0.93-3.972","consistent_yearlong","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"640","EMBARGO CR","yearlong","Roads open to highway legal vehicles only, Yearlong","open","open","matched_by_id_season_symbol","1","EMBARGO CR","yearlong","Roads open to highway legal vehicles only, Yearlong","01/01-12/31","01/01-12/31","","0.6-0.6121","consistent_yearlong","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"640","EMBARGO CR","seasonal","Roads open to all Vehicles, Seasonal","open","open","matched_by_id_season_symbol","2","EMBARGO CR","seasonal","Roads open to all Vehicles, Seasonal","05/16-03/14; 01/01-12/31","01/01-03/14,05/16-12/31; 05/16-03/14","05/16-03/14","7.1-7.6; 7.6-9.03","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"610","ALDER","seasonal","Roads open to all Vehicles, Seasonal","open","open","matched_by_id_season_symbol","2","ALDER","seasonal","Roads open to all Vehicles, Seasonal","05/16-03/14; 01/01-12/31","01/01-03/14,05/16-12/31; 05/16-03/14","01/01-12/31","0-3.135; 3.135-10.631","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"613","WEST MIDDLE PARK","seasonal","Special Designation, Seasonal","open","open","matched_by_id_season_symbol","1","WEST MIDDLE PARK","seasonal","Special Designation, Seasonal","01/01-12/31","05/16-03/14","01/01-12/31","0-2","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"614","BEAR","seasonal","Roads open to all Vehicles, Seasonal","open","open","matched_by_id_season_symbol","2","BEAR","seasonal","Roads open to all Vehicles, Seasonal","01/01-12/31","05/16-03/14","05/16-03/14","0-0.43; 0.43-4.38","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"433","DECKER CR","seasonal","Roads open to all Vehicles, Seasonal","open","open","matched_by_id_season_symbol","1","DECKER CR","seasonal","Roads open to all Vehicles, Seasonal","01/01-12/31","05/16-03/14","05/16-03/14","0-6","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"644","SIETZ","seasonal","Roads open to all Vehicles, Seasonal","open","open","matched_by_id_season_symbol","1","SIETZ","seasonal","Roads open to all Vehicles, Seasonal","01/01-12/31","05/16-03/14","05/16-03/14","0-2.6","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"616","SHEARING","seasonal","Roads open to all Vehicles, Seasonal","open","open","matched_by_id_season_symbol","1","SHEARING","seasonal","Roads open to all Vehicles, Seasonal","01/01-12/31","05/16-03/14","05/16-03/14","0-5","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"645","PINON","seasonal","Roads open to all Vehicles, Seasonal","open","open","matched_by_id_season_symbol","2","PINON","seasonal","Roads open to all Vehicles, Seasonal","01/01-12/31","05/16-03/14","05/16-03/14","0.3-6.3; 0-0.3","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"640","EMBARGO CR","seasonal","Roads open to highway legal vehicles only, Seasonal","open","open","matched_by_id_season_symbol","2","EMBARGO CR","seasonal","Roads open to highway legal vehicles only, Seasonal","05/16-03/14","01/01-03/14,05/16-12/31","","1.5-7.1; 0.6121-0.9","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"612","MIDDLE PARK","seasonal","Roads open to all Vehicles, Seasonal","open","open","matched_by_id_season_symbol","1","MIDDLE PARK","seasonal","Roads open to all Vehicles, Seasonal","01/01-12/31","05/16-03/14","05/16-03/14","0-4.2","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"640","EMBARGO CR","seasonal","Roads open to highway legal vehicles only, Seasonal","open","open","matched_by_id_season_symbol","2","EMBARGO CR","seasonal","Roads open to highway legal vehicles only, Seasonal","05/16-03/14","01/01-03/14,05/16-12/31","","1.5-7.1; 0.6121-0.9","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"402","LOBO OVERLOOK","seasonal","Roads open to all Vehicles, Seasonal","open","open","matched_by_id_season_symbol","2","LOBO OVERLOOK","seasonal","Roads open to all Vehicles, Seasonal","05/16-03/14","05/16-03/14","05/16-03/14","2.9877-3.01; 0-2.9477","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"611","VIERS CR","seasonal","Roads open to all Vehicles, Seasonal","open","open","matched_by_id_season_symbol","1","VIERS CR","seasonal","Roads open to all Vehicles, Seasonal","01/01-12/31","05/16-03/14","05/16-03/14","0-6.6","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"601","BLUE PARK","seasonal","Roads open to all Vehicles, Seasonal","open","open","matched_by_id_season_symbol","2","BLUE PARK","seasonal","Roads open to all Vehicles, Seasonal","05/16-03/14; 01/01-12/31","01/01-03/14,05/16-12/31; 05/16-03/14","01/01-12/31","0-2.065; 2.065-3.49","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"430","LAKE FORK","seasonal","Roads open to all Vehicles, Seasonal","open","open","matched_by_id_season_symbol","2","LAKE FORK","seasonal","Roads open to all Vehicles, Seasonal","05/16-03/14","05/16-03/14","05/16-03/14","0-12.6403; 12.6403-17.0302","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"413","BIG MEADOWS CG","seasonal","Roads open to all Vehicles, Seasonal","open","open","matched_by_id_season_symbol","1","BIG MEADOWS CG","seasonal","Roads open to all Vehicles, Seasonal","05/28-09/05","05/28-09/05","05/28-09/05","0-0.7","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"610","ALDER","seasonal","Special Designation, Seasonal","open","","matched_by_id_season_symbol","3","ALDER","seasonal","Special Designation, Seasonal","05/16-03/14","","","10.631-20.45","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"610","ALDER","seasonal","Roads open to all Vehicles, Seasonal","open","open","matched_by_id_season_symbol","2","ALDER","seasonal","Roads open to all Vehicles, Seasonal","05/16-03/14; 01/01-12/31","01/01-03/14,05/16-12/31; 05/16-03/14","01/01-12/31","0-3.135; 3.135-10.631","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"615","BEAR CUTOFF","seasonal","Roads open to all Vehicles, Seasonal","open","open","matched_by_id_season_symbol","1","BEAR CUTOFF","seasonal","Roads open to all Vehicles, Seasonal","01/01-12/31","05/16-03/14","05/16-03/14","0-2.8","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"630","AGUA RAMON","yearlong","Roads open to highway legal vehicles only, Yearlong","open","open","matched_by_id_season_symbol","2","AGUA RAMON","yearlong","Roads open to highway legal vehicles only, Yearlong","01/01-12/31","01/01-12/31","","21.256-21.334; 0.93-3.972","consistent_yearlong","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"630","AGUA RAMON","seasonal","Special Designation, Seasonal","","open","matched_by_id_season_symbol","1","AGUA RAMON","seasonal","Special Designation, Seasonal","","05/16-03/14","05/16-03/14","17.4-21.256","source_missing_dates","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"640","EMBARGO CR","seasonal","Roads open to all Vehicles, Seasonal","open","open","matched_by_id_season_symbol","2","EMBARGO CR","seasonal","Roads open to all Vehicles, Seasonal","05/16-03/14; 01/01-12/31","01/01-03/14,05/16-12/31; 05/16-03/14","05/16-03/14","7.1-7.6; 7.6-9.03","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
"645","PINON","seasonal","Roads open to all Vehicles, Seasonal","open","open","matched_by_id_season_symbol","2","PINON","seasonal","Roads open to all Vehicles, Seasonal","01/01-12/31","05/16-03/14","05/16-03/14","0.3-6.3; 0-0.3","source_has_dates_local_has_season_only","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_MVUM_01/MapServer/1"
